customer_id,name,country,total_orders,lifetime_value,avg_order_value,segment
17592,Dr. Tiffany York PhD,Es,2,3026.42,1513.21,Platinum (>$1000)
372,James Collins,Us,3,2978.28,992.76,Platinum (>$1000)
17547,Steven Matthews,Fr,1,2680.64,2680.64,Platinum (>$1000)
14135,Micheal Howell,Pl,3,2588.95,862.98,Platinum (>$1000)
13621,Justin Little,Fr,2,2487.41,1243.7,Platinum (>$1000)
3251,Megan May,Br,4,2467.01,616.75,Platinum (>$1000)
11283,Christopher Gonzalez,Ae,3,2385.33,795.11,Platinum (>$1000)
5752,Curtis Wright,Nl,6,2361.67,393.61,Platinum (>$1000)
13894,Elizabeth Taylor,Au,5,2343.1,468.62,Platinum (>$1000)
6322,David Yang,Us,4,2230.66,557.66,Platinum (>$1000)
9912,Julie Harrison,Fr,3,2178.43,726.14,Platinum (>$1000)
8123,Jacqueline Brown,Fr,4,2153.24,538.31,Platinum (>$1000)
3640,Angela Bridges,Sg,2,2122.89,1061.44,Platinum (>$1000)
9573,Katherine Lee,Za,6,2115.69,352.62,Platinum (>$1000)
11172,William Yang,Fr,4,2112.93,528.23,Platinum (>$1000)
12502,Austin Taylor II,Es,2,2111.21,1055.61,Platinum (>$1000)
17016,Todd Dixon,Br,5,2101.5,420.3,Platinum (>$1000)
503,Michael Nichols,Mx,5,2100.96,420.19,Platinum (>$1000)
2223,Ashley Scott,Nl,2,2100.4300000000003,1050.22,Platinum (>$1000)
8355,Chad Perry,Se,4,2054.98,513.75,Platinum (>$1000)
10266,Lawrence Johnson MD,Es,2,1994.32,997.16,Platinum (>$1000)
16232,Victoria Hubbard,Mx,6,1980.98,330.16,Platinum (>$1000)
16565,Kimberly White,De,4,1976.53,494.13,Platinum (>$1000)
19684,Derek Schneider,Ca,3,1929.44,643.15,Platinum (>$1000)
10342,David Mckay,In,3,1925.25,641.75,Platinum (>$1000)
14495,Jessica Romero,Gb,1,1924.76,1924.76,Platinum (>$1000)
16148,Cameron Alexander,Au,3,1923.92,641.31,Platinum (>$1000)
15858,Anna Hopkins,Za,3,1852.26,617.42,Platinum (>$1000)
8857,Megan Martinez,Sg,3,1849.5900000000001,616.53,Platinum (>$1000)
13437,Randy Wood,Pl,2,1843.31,921.65,Platinum (>$1000)
18426,Donna Lawson,Es,2,1833.68,916.84,Platinum (>$1000)
3769,Damon Johnson,Us,4,1832.6599999999999,458.16,Platinum (>$1000)
4900,Eric Graham,Ca,4,1815.04,453.76,Platinum (>$1000)
4302,Sara Parker,Us,3,1771.27,590.42,Platinum (>$1000)
4647,Shannon Flores,Mx,2,1755.86,877.93,Platinum (>$1000)
11879,James Roy,Gb,2,1750.15,875.08,Platinum (>$1000)
7032,Lee Torres,Nl,2,1744.42,872.21,Platinum (>$1000)
6422,Richard Bowen,Us,4,1737.31,434.33,Platinum (>$1000)
12576,Gary Rivera,Br,4,1732.86,433.21,Platinum (>$1000)
14819,Shannon Davis,Us,5,1727.58,345.52,Platinum (>$1000)
13282,Robert Thompson,Es,7,1697.11,242.44,Platinum (>$1000)
4584,John Matthews,Ae,2,1691.16,845.58,Platinum (>$1000)
13725,Martha Hicks,Pl,1,1678.36,1678.36,Platinum (>$1000)
12997,Stephanie Jenkins,Se,4,1672.49,418.12,Platinum (>$1000)
18562,Michelle Chavez,Jp,7,1657.85,236.84,Platinum (>$1000)
2986,Sheryl Mckee,De,5,1652.07,330.41,Platinum (>$1000)
4406,Nicole Smith,In,3,1639.79,546.6,Platinum (>$1000)
6166,Betty Evans,Us,6,1638.69,273.12,Platinum (>$1000)
15435,Brandy Williams,De,5,1636.6699999999998,327.33,Platinum (>$1000)
6242,Jackson Maxwell,Mx,4,1635.43,408.86,Platinum (>$1000)
8521,Anthony Zimmerman,Us,5,1627.87,325.57,Platinum (>$1000)
12832,Russell Garcia,Jp,4,1623.27,405.82,Platinum (>$1000)
10493,Devon Brown,Au,7,1603.4,229.06,Platinum (>$1000)
14195,Larry Brown,De,3,1581.48,527.16,Platinum (>$1000)
9842,Vincent Clayton,Us,2,1575.9499999999998,787.97,Platinum (>$1000)
